Date,Open,High,Low,Close,Adj Close,Volume
14/05/2015,127.410004,128.949997,127.160004,128.949997,119.445946,45203500
15/05/2015,129.070007,129.490005,128.210007,128.770004,119.279213,38208000
18/05/2015,128.380005,130.720001,128.360001,130.190002,120.594551,50882900
19/05/2015,130.690002,130.880005,129.639999,130.070007,120.483398,44633200
20/05/2015,130,130.979996,129.339996,130.059998,120.474144,36454900
21/05/2015,130.070007,131.630005,129.830002,131.389999,121.706139,39730400
22/05/2015,131.600006,132.970001,131.399994,132.539993,122.77137,45596000
26/05/2015,132.600006,132.910004,129.119995,129.619995,120.066551,70697600
27/05/2015,130.339996,132.259995,130.050003,132.039993,122.308205,45833200
28/05/2015,131.860001,131.949997,131.100006,131.779999,122.067375,30733300
29/05/2015,131.229996,131.449997,129.899994,130.279999,120.677933,50884500
01/06/2015,130.279999,131.389999,130.050003,130.539993,120.918762,32112800
02/06/2015,129.860001,130.660004,129.320007,129.960007,120.381523,33667600
03/06/2015,130.660004,130.940002,129.899994,130.119995,120.529716,30983500
04/06/2015,129.580002,130.580002,128.910004,129.360001,119.825737,38450100
05/06/2015,129.5,129.690002,128.360001,128.649994,119.168053,35626800
08/06/2015,128.899994,129.210007,126.830002,127.800003,118.380714,52674800
09/06/2015,126.699997,128.080002,125.620003,127.419998,118.028717,56075400
10/06/2015,127.919998,129.339996,127.849998,128.880005,119.381111,39087300
11/06/2015,129.179993,130.179993,128.479996,128.589996,119.112488,35390900
12/06/2015,128.190002,128.330002,127.110001,127.169998,117.79715,36886200
15/06/2015,126.099998,127.239998,125.709999,126.919998,117.565575,43988900
16/06/2015,127.029999,127.849998,126.370003,127.599998,118.195457,31494100
17/06/2015,127.720001,127.879997,126.739998,127.300003,117.917557,32918100
18/06/2015,127.230003,128.309998,127.220001,127.879997,118.454803,35407200
19/06/2015,127.709999,127.82,126.400002,126.599998,117.269157,54716900
22/06/2015,127.489998,128.059998,127.080002,127.610001,118.204712,34039300
23/06/2015,127.480003,127.610001,126.879997,127.029999,117.667465,30268900
24/06/2015,127.209999,129.800003,127.120003,128.110001,118.66787,55280900
25/06/2015,128.860001,129.199997,127.5,127.5,118.102837,31938100
26/06/2015,127.669998,127.989998,126.510002,126.75,117.408104,44066800
29/06/2015,125.459999,126.470001,124.480003,124.529999,115.351707,49161400
30/06/2015,125.57,126.120003,124.860001,125.43,116.185387,44370700
01/07/2015,126.900002,126.940002,125.989998,126.599998,117.269157,30238800
02/07/2015,126.43,126.690002,125.769997,126.440002,117.120941,27211000
06/07/2015,124.940002,126.230003,124.849998,126,116.713364,28060400
07/07/2015,125.889999,126.150002,123.769997,125.690002,116.426216,46946800
08/07/2015,124.480003,124.639999,122.540001,122.57,113.536186,60761600
09/07/2015,123.849998,124.059998,119.220001,120.07,111.220444,78595000
10/07/2015,121.940002,123.849998,121.209999,123.279999,114.193848,61354500
13/07/2015,125.029999,125.760002,124.32,125.660004,116.398453,41440500
14/07/2015,126.040001,126.370003,125.040001,125.610001,116.352112,31768100
15/07/2015,125.720001,127.150002,125.580002,126.82,117.472946,33649200
16/07/2015,127.739998,128.570007,127.349998,128.509995,119.038376,36222400
17/07/2015,129.080002,129.619995,128.309998,129.619995,120.066551,46164700
20/07/2015,130.970001,132.970001,130.699997,132.070007,122.335999,58900200
21/07/2015,132.850006,132.919998,130.320007,130.75,121.113289,76756400
22/07/2015,121.989998,125.5,121.989998,125.220001,115.990868,115450600
23/07/2015,126.199997,127.089996,125.059998,125.160004,115.935295,50999500
24/07/2015,125.32,125.739998,123.900002,124.5,115.323929,42162300
27/07/2015,123.089996,123.610001,122.120003,122.769997,113.721443,44455500
28/07/2015,123.379997,123.910004,122.550003,123.379997,114.286491,33618100
29/07/2015,123.150002,123.5,122.269997,122.989998,113.925224,37011700
30/07/2015,122.32,122.57,121.709999,122.370003,113.350945,33628300
31/07/2015,122.599998,122.639999,120.910004,121.300003,112.359787,42885000
03/08/2015,121.5,122.57,117.519997,118.440002,109.710579,69976000
04/08/2015,117.419998,117.699997,113.25,114.639999,106.190651,124138600
05/08/2015,112.949997,117.440002,112.099998,115.400002,106.89463,99312600
06/08/2015,115.970001,116.5,114.120003,115.129997,107.127243,52903000
07/08/2015,114.580002,116.25,114.5,115.519997,107.490135,38670400
10/08/2015,116.529999,119.989998,116.529999,119.720001,111.398201,54951600
11/08/2015,117.809998,118.18,113.330002,113.489998,105.601257,97082800
12/08/2015,112.529999,115.419998,109.629997,115.239998,107.229599,101217500
13/08/2015,116.040001,116.400002,114.540001,115.150002,107.145874,48535800
14/08/2015,114.32,116.309998,114.010002,115.959999,107.899559,42929500
17/08/2015,116.040001,117.650002,115.5,117.160004,109.016144,40884700
18/08/2015,116.43,117.440002,116.010002,116.5,108.402016,34560700
19/08/2015,116.099998,116.519997,114.68,115.010002,107.015587,48286500
20/08/2015,114.080002,114.349998,111.629997,112.650002,104.819656,68501600
21/08/2015,110.43,111.900002,105.650002,105.760002,98.408554,128275500
24/08/2015,94.870003,108.800003,92,103.120003,95.952095,162206300
25/08/2015,111.110001,111.110001,103.5,103.739998,96.528969,103601600
26/08/2015,107.089996,109.889999,105.050003,109.690002,102.065392,96774600
27/08/2015,112.230003,113.239998,110.019997,112.919998,105.070885,84616100
28/08/2015,112.169998,113.309998,111.540001,113.290001,105.415154,53164400
31/08/2015,112.029999,114.529999,112,112.760002,104.922005,56229300
01/09/2015,110.150002,111.879997,107.360001,107.720001,100.232323,76845900
02/09/2015,110.230003,112.339996,109.129997,112.339996,104.531181,61888800
03/09/2015,112.489998,112.779999,110.040001,110.370003,102.69812,53233900
04/09/2015,108.970001,110.449997,108.510002,109.269997,101.674576,49996300
08/09/2015,111.75,112.559998,110.32,112.309998,104.503265,54843600
09/09/2015,113.760002,114.019997,109.769997,110.150002,102.493416,85010800
10/09/2015,110.269997,113.279999,109.900002,112.57,104.745216,62892800
11/09/2015,111.790001,114.209999,111.760002,114.209999,106.271194,49915500
14/09/2015,116.580002,116.889999,114.860001,115.309998,107.294724,58363400
15/09/2015,115.93,116.529999,114.419998,116.279999,108.197311,43341200
16/09/2015,116.25,116.540001,115.440002,116.410004,108.318291,37173500
17/09/2015,115.660004,116.489998,113.720001,113.919998,106.00135,64112600
18/09/2015,112.209999,114.300003,111.870003,113.449997,105.564041,74285300
21/09/2015,113.669998,115.370003,113.660004,115.209999,107.201698,50222000
22/09/2015,113.379997,114.18,112.519997,113.400002,105.517509,50346200
23/09/2015,113.629997,114.720001,113.300003,114.32,106.373558,35756700
24/09/2015,113.25,115.5,112.370003,115,107.006294,50219500
25/09/2015,116.440002,116.690002,114.019997,114.709999,106.736458,56151900
28/09/2015,113.849998,114.57,112.440002,112.440002,104.624237,52109000
29/09/2015,112.830002,113.510002,107.860001,109.059998,101.479179,73365400
30/09/2015,110.169998,111.540001,108.730003,110.300003,102.632996,66473000
01/10/2015,109.07,109.620003,107.309998,109.580002,101.963036,63929100
02/10/2015,108.010002,111.010002,107.550003,110.379997,102.707428,58019800
05/10/2015,109.879997,111.370003,109.07,110.779999,103.079636,52064700
06/10/2015,110.629997,111.739998,109.769997,111.309998,103.572777,48196800
07/10/2015,111.739998,111.769997,109.410004,110.779999,103.079636,46765600
08/10/2015,110.190002,110.190002,108.209999,109.5,101.888588,61979600
09/10/2015,110,112.279999,109.489998,112.120003,104.326485,52766100
12/10/2015,112.730003,112.75,111.440002,111.599998,103.842636,30467200
13/10/2015,110.82,112.449997,110.68,111.790001,104.019409,33049300
14/10/2015,111.290001,111.519997,109.559998,110.209999,102.549255,44462400
15/10/2015,110.93,112.099998,110.489998,111.860001,104.084564,37673500
16/10/2015,111.779999,112,110.529999,111.040001,103.321564,39232600
19/10/2015,110.800003,111.75,110.110001,111.730003,103.963593,29759200
20/10/2015,111.339996,114.169998,110.82,113.769997,105.861801,48967800
21/10/2015,114,115.580002,113.699997,113.760002,105.852493,41795200
22/10/2015,114.330002,115.5,114.099998,115.5,107.471558,41654100
23/10/2015,116.699997,119.230003,116.330002,119.080002,110.802673,59366900
26/10/2015,118.080002,118.129997,114.919998,115.279999,107.26683,66333800
27/10/2015,115.400002,116.540001,113.989998,114.550003,106.587563,69884400
28/10/2015,116.93,119.300003,116.059998,119.269997,110.979469,85551400
29/10/2015,118.699997,120.690002,118.269997,120.529999,112.151901,51227300
30/10/2015,120.989998,121.220001,119.449997,119.5,111.193504,49365300
02/11/2015,120.800003,121.360001,119.610001,121.18,112.756714,32203300
03/11/2015,120.790001,123.489998,120.699997,122.57,114.050095,45519000
04/11/2015,123.129997,123.82,121.620003,122,113.519714,44886100
05/11/2015,121.849998,122.690002,120.18,120.919998,112.996407,39552700
06/11/2015,121.110001,121.809998,120.620003,121.059998,113.127228,33042300
09/11/2015,120.959999,121.809998,120.050003,120.57,112.669365,33871400
10/11/2015,116.900002,118.07,116.059998,116.769997,109.11834,59127900
11/11/2015,116.370003,117.419998,115.209999,116.110001,108.501602,45218000
12/11/2015,116.260002,116.82,115.650002,115.720001,108.137138,32525600
13/11/2015,115.199997,115.57,112.269997,112.339996,104.97863,45812400
16/11/2015,111.379997,114.239998,111,114.18,106.698074,38106700
17/11/2015,114.919998,115.050003,113.32,113.690002,106.240173,27616900
18/11/2015,115.760002,117.489998,115.5,117.290001,109.604263,46674700
19/11/2015,117.639999,119.75,116.760002,118.779999,110.996635,43295800
20/11/2015,119.199997,119.919998,118.849998,119.300003,111.482559,34287100
23/11/2015,119.269997,119.730003,117.339996,117.75,110.034142,32482500
24/11/2015,117.330002,119.349998,117.120003,118.879997,111.090088,42803200
25/11/2015,119.209999,119.230003,117.919998,118.029999,110.295761,21388300
